id_propiedad,ciudad,barrio_distrito,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion,rango_m2,precio_m2
43,Madrid,Chamberí,Venta,Piso,629773.0,106.8,3.0,2.0,Buen estado,2001-01-01,8,False,False,True,False,False,7.44,2024-10-24,80-120,5896.75
44,Madrid,Arganzuela,Venta,Piso,439993.0,86.5,3.0,2.0,Buen estado,1974-01-01,8,False,False,False,True,False,7.34,2024-11-18,80-120,5086.62
45,Madrid,Salamanca,Alquiler,Sin_clasificar,,,5.0,3.0,Buen estado,1950-01-01,9,False,True,True,False,False,3.4,2024-10-26,,
46,Madrid,Arganzuela,Alquiler,Piso,339996.0,65.2,2.0,1.0,Reformado,1960-01-01,9,True,False,False,True,True,7.37,2024-12-11,40-80,5214.66
47,Madrid,Tetuán,Venta,Piso,355364.0,77.1,2.0,1.0,Buen estado,1975-01-01,9,True,True,False,True,True,5.64,2025-03-02,40-80,4609.13
48,Madrid,Tetuán,Venta,Piso,375666.0,86.7,3.0,2.0,Buen estado,2007-01-01,5,True,True,False,True,True,6.63,2024-12-09,80-120,4332.94
49,Madrid,Retiro,Venta,Piso,409971.0,98.2,3.0,2.0,Buen estado,1998-01-01,5,False,True,True,False,False,4.16,2024-10-27,80-120,4174.86
50,Madrid,Salamanca,Venta,Piso,311026.0,68.0,2.0,1.0,A reformar,2010-01-01,1,True,False,False,True,False,3.41,2025-02-23,40-80,4573.91
51,Madrid,Chamberí,Venta,Piso,462193.0,98.7,3.0,2.0,Buen estado,1973-01-01,1,True,True,False,False,True,6.21,2024-12-10,80-120,4682.81
52,Madrid,Retiro,Venta,Piso,361605.0,65.8,2.0,1.0,Buen estado,1968-01-01,4,True,True,True,False,True,2.33,,40-80,5495.52
53,Madrid,Arganzuela,Venta,Ático,488325.0,99.2,3.0,2.0,Buen estado,1983-01-01,Ático,True,True,False,True,False,4.48,2024-11-04,80-120,4922.63
54,Madrid,Chamberí,Venta,Piso,502181.0,91.0,3.0,2.0,Obra nueva,2019-01-01,4,True,False,True,True,False,5.31,2024-12-20,80-120,5518.47
55,Madrid,Tetuán,Venta,Piso,248735.0,55.9,2.0,1.0,Buen estado,1983-01-01,4,True,True,False,True,True,,2025-02-15,40-80,4449.64
56,Madrid,Madrid-Centro,Venta,Ático,484158.0,99.6,3.0,2.0,Buen estado,1980-01-01,Ático,False,True,False,True,False,3.64,2025-01-25,80-120,4861.02
57,Madrid,Retiro,Venta,Piso,552851.0,101.1,3.0,2.0,Buen estado,1963-01-01,4,True,False,True,False,True,0.79,2024-11-19,80-120,5468.36
58,Madrid,Arganzuela,Venta,Sin_clasificar,,,1.0,1.0,Buen estado,1984-01-01,1,False,True,True,False,False,4.77,2024-10-28,,
59,Madrid,Arganzuela,Alquiler,Piso,403196.0,75.3,2.0,1.0,Obra nueva,2022-01-01,8,True,True,False,True,False,8.26,2024-11-15,40-80,5354.53
60,Madrid,Madrid-Centro,Venta,Piso,573348.0,98.8,3.0,2.0,Reformado,1970-01-01,Bajo,True,False,False,True,True,5.69,2025-01-08,80-120,5803.12
61,Madrid,Chamberí,Venta,Piso,352221.0,77.5,2.0,1.0,Buen estado,1974-01-01,8,False,False,True,False,False,5.51,2025-01-21,40-80,4544.79
62,Madrid,Tetuán,Alquiler,Piso,317995.0,69.2,2.0,1.0,Buen estado,1989-01-01,2,True,False,False,True,False,6.1,2024-11-23,40-80,4595.3
63,Madrid,Madrid-Centro,Venta,Piso,495633.0,118.9,3.0,2.0,Buen estado,1994-01-01,6,True,True,True,False,False,5.42,,80-120,4168.49
64,Madrid,Arganzuela,Alquiler,Piso,427817.0,94.9,3.0,2.0,Obra nueva,2018-01-01,6,False,False,False,False,False,4.43,2024-10-18,80-120,4508.08
65,Madrid,Madrid-Centro,Venta,Piso,404027.0,74.4,2.0,1.0,Buen estado,1966-01-01,4,True,False,True,True,True,6.18,2024-12-06,40-80,5430.47
66,Madrid,Chamberí,Venta,Piso,294533.0,60.3,2.0,1.0,Buen estado,1980-01-01,1,True,True,False,True,False,4.16,2024-12-19,40-80,4884.46
67,Madrid,Retiro,Venta,Sin_clasificar,,,4.0,1.0,A reformar,2000-01-01,8,True,True,False,True,False,5.13,2025-01-01,,
68,Madrid,Salamanca,Venta,Piso,1087781.0,208.01,6.0,3.0,Buen estado,1966-01-01,4,False,False,True,True,False,6.92,2024-10-18,200-240,5229.46
69,Madrid,Salamanca,Venta,Piso,443369.0,82.3,3.0,2.0,Obra nueva,2021-01-01,9,True,True,False,True,True,5.87,2025-02-16,80-120,5387.23
70,Madrid,Salamanca,Venta,Estudio,,32.2,0.0,1.0,Buen estado,1968-01-01,6,True,False,False,True,True,5.15,2024-10-09,0-40,
71,Madrid,Tetuán,Alquiler,Ático,407679.0,80.3,3.0,2.0,Obra nueva,2023-01-01,Ático,True,True,True,True,False,5.6,2024-11-28,80-120,5076.95
72,Madrid,Retiro,Venta,Piso,406332.0,81.7,3.0,2.0,Reformado,1969-01-01,9,False,True,False,False,False,6.11,2024-12-28,80-120,4973.46
73,Madrid,Arganzuela,Alquiler,Piso,474008.0,83.7,3.0,2.0,Buen estado,1998-01-01,4,True,False,False,False,False,6.18,2025-03-28,80-120,5663.18
74,Madrid,Madrid-Centro,Venta,Piso,376020.0,77.5,2.0,1.0,Buen estado,1992-01-01,3,False,True,True,False,False,3.25,2025-01-24,40-80,4851.87
75,Madrid,Arganzuela,Alquiler,Piso,371069.0,78.6,2.0,1.0,Reformado,1988-01-01,9,False,False,False,False,False,6.93,2025-03-03,40-80,4720.98
76,Madrid,Retiro,Venta,Piso,334706.0,60.7,2.0,1.0,Buen estado,1975-01-01,3,False,True,False,True,False,3.74,2025-01-27,40-80,5514.1
77,Madrid,Tetuán,Venta,Ático,537783.0,88.2,3.0,2.0,Buen estado,1972-01-01,Ático,False,False,True,True,True,7.13,2024-12-02,80-120,6097.31
78,Madrid,Tetuán,Venta,Ático,326495.0,63.8,2.0,1.0,Obra nueva,2019-01-01,Ático,True,False,True,True,False,5.88,2024-10-30,40-80,5117.48
79,Madrid,Retiro,Venta,Piso,248495.0,55.9,2.0,1.0,Buen estado,2013-01-01,3,True,False,False,False,False,3.99,2025-03-30,40-80,4445.35
80,Madrid,Retiro,Venta,Piso,465879.0,92.6,3.0,2.0,Buen estado,1974-01-01,3,False,False,False,True,False,6.88,2025-02-07,80-120,5031.09
81,Madrid,Tetuán,Alquiler,Ático,409846.0,80.2,3.0,2.0,Buen estado,1972-01-01,Ático,False,False,False,True,False,4.64,2025-03-05,80-120,5110.3
82,Madrid,Chamberí,Alquiler,Piso,238367.0,49.1,2.0,1.0,Buen estado,1998-01-01,2,True,True,False,False,False,,2025-03-25,40-80,4854.73
83,Madrid,Arganzuela,Venta,Piso,426433.0,104.9,3.0,2.0,Obra nueva,2018-01-01,6,False,True,False,True,True,5.99,,80-120,4065.14
84,Madrid,Chamberí,Alquiler,Piso,454916.0,93.5,3.0,2.0,Buen estado,1996-01-01,8,True,True,True,False,True,6.22,2024-12-11,80-120,4865.41
85,Madrid,Salamanca,Venta,Piso,499192.0,106.8,3.0,2.0,Buen estado,1986-01-01,8,True,False,False,True,False,2.38,2025-03-10,80-120,4674.08
86,Madrid,Retiro,Alquiler,Piso,379685.0,74.5,2.0,1.0,Buen estado,1983-01-01,8,True,True,True,False,True,7.82,2025-01-26,40-80,5096.44
87,Madrid,Tetuán,Venta,Piso,409655.0,80.2,3.0,2.0,Reformado,1979-01-01,7,False,False,False,True,False,3.08,2024-12-14,80-120,5107.92
88,Madrid,Chamberí,Alquiler,Ático,,68.8,2.0,1.0,Obra nueva,2021-01-01,Ático,True,False,False,True,True,4.75,2024-12-09,40-80,
89,Madrid,Retiro,Venta,Piso,380495.0,82.3,3.0,2.0,Buen estado,1954-01-01,5,True,False,False,False,False,6.14,2024-12-29,80-120,4623.27
90,Madrid,Tetuán,Venta,Piso,566618.0,109.2,3.0,2.0,Buen estado,1983-01-01,2,True,False,False,False,False,4.64,2025-04-07,80-120,5188.81
91,Madrid,Chamberí,Venta,Piso,397272.0,70.5,2.0,1.0,Buen estado,2007-01-01,6,True,False,False,True,False,,2024-10-24,40-80,5635.06
92,Madrid,Chamberí,Alquiler,Piso,326459.0,59.9,2.0,1.0,Obra nueva,2023-01-01,Bajo,False,False,False,True,True,5.46,2025-03-05,40-80,5450.07
93,Madrid,Madrid-Centro,Venta,Sin_clasificar,,,2.0,1.0,Buen estado,1974-01-01,6,True,False,False,False,True,6.44,2025-01-24,,
94,Madrid,Tetuán,Alquiler,Piso,486414.0,104.0,3.0,2.0,Buen estado,1977-01-01,3,False,False,True,False,False,6.54,2025-02-10,80-120,4677.06
95,Madrid,Chamberí,Venta,Ático,476913.0,86.4,3.0,2.0,Buen estado,2011-01-01,Ático,True,True,False,False,False,3.39,2025-03-31,80-120,5519.83
96,Madrid,Madrid-Centro,Alquiler,Piso,,65.0,2.0,1.0,Reformado,2006-01-01,9,True,True,True,True,False,3.28,2025-02-22,40-80,
97,Madrid,Salamanca,Alquiler,Piso,278262.0,47.8,2.0,1.0,Buen estado,1983-01-01,1,True,False,False,False,True,5.82,2025-03-22,40-80,5821.38
98,Madrid,Madrid-Centro,Venta,Piso,430581.0,87.0,3.0,2.0,Buen estado,1991-01-01,6,False,False,False,False,False,8.67,2024-12-31,80-120,4949.21
99,Madrid,Chamberí,Venta,Piso,258920.0,56.5,2.0,1.0,Reformado,1972-01-01,4,True,False,False,False,False,5.61,2025-01-24,40-80,4582.65
100,Madrid,Retiro,Alquiler,Piso,473869.0,98.8,3.0,2.0,Obra nueva,2018-01-01,5,False,True,True,True,False,5.23,2024-12-05,80-120,4796.24
101,Madrid,Arganzuela,Venta,Piso,350988.0,67.1,2.0,1.0,Buen estado,1996-01-01,Bajo,True,False,False,True,False,6.09,2024-12-11,40-80,5230.82
102,Madrid,Chamberí,Alquiler,Piso,422829.0,86.3,3.0,2.0,Buen estado,1978-01-01,7,True,False,False,True,True,6.64,2025-03-29,80-120,4899.52
103,Madrid,Salamanca,Venta,Piso,543811.0,110.2,3.0,2.0,Buen estado,2000-01-01,5,True,False,True,False,False,6.64,2024-11-20,80-120,4934.76
104,Madrid,Tetuán,Venta,Piso,537994.0,105.8,3.0,2.0,Buen estado,2005-01-01,2,True,False,False,True,False,7.81,,80-120,5085.01
105,Madrid,Salamanca,Venta,Piso,690870.0,130.6,4.0,2.0,Buen estado,1986-01-01,6,False,True,False,False,False,7.19,2025-01-18,120-160,5289.97
106,Madrid,Arganzuela,Venta,Piso,311319.0,62.6,2.0,1.0,Obra nueva,2019-01-01,1,True,True,False,True,False,2.85,2025-04-05,40-80,4973.15
107,Madrid,Retiro,Alquiler,Piso,253174.0,58.9,2.0,1.0,Buen estado,1992-01-01,9,True,False,True,False,False,7.92,2024-10-19,40-80,4298.37
108,Madrid,Retiro,Venta,Ático,324814.0,70.1,2.0,1.0,Buen estado,1955-01-01,Ático,False,False,False,True,True,4.78,2025-01-04,40-80,4633.58
109,Madrid,Salamanca,Alquiler,Piso,273837.0,61.1,2.0,1.0,Buen estado,2013-01-01,5,True,False,False,True,False,5.33,2025-03-20,40-80,4481.78
110,Madrid,Madrid-Centro,Alquiler,Piso,563962.0,97.7,3.0,2.0,Obra nueva,2023-01-01,4,True,True,False,False,False,5.57,2025-03-15,80-120,5772.38
111,Madrid,Tetuán,Alquiler,Piso,391537.0,71.2,2.0,1.0,Obra nueva,2022-01-01,4,True,True,False,True,False,,2024-12-30,40-80,5499.12
112,Madrid,Chamberí,Alquiler,Piso,453002.0,88.2,3.0,2.0,Reformado,1982-01-01,3,True,False,False,True,False,1.62,2025-02-04,80-120,5136.08
113,Madrid,Tetuán,Venta,Piso,284027.0,66.7,2.0,1.0,Buen estado,1989-01-01,5,True,True,False,False,False,2.58,2024-11-24,40-80,4258.28
114,Madrid,Madrid-Centro,Venta,Piso,332355.0,73.8,2.0,1.0,Buen estado,1964-01-01,9,True,False,False,True,False,5.95,2025-04-06,40-80,4503.46
115,Madrid,Retiro,Venta,Sin_clasificar,,,3.0,3.0,Buen estado,2020-01-01,3,False,False,True,True,False,6.95,2025-01-21,,
116,Madrid,Madrid-Centro,Venta,Piso,282155.0,51.2,2.0,1.0,Buen estado,1990-01-01,7,True,True,False,False,False,3.1,2025-01-31,40-80,5510.84
117,Madrid,Salamanca,Venta,Piso,263336.0,58.1,2.0,1.0,Buen estado,2003-01-01,4,True,False,False,False,False,,2025-03-27,40-80,4532.46
118,Madrid,Tetuán,Venta,Piso,381599.0,84.3,3.0,2.0,Buen estado,1940-01-01,8,False,True,False,True,False,6.86,2025-01-01,80-120,4526.68
119,Madrid,Retiro,Alquiler,Piso,,106.2,3.0,2.0,Buen estado,1995-01-01,1,False,False,True,False,False,1.84,2024-11-27,80-120,
120,Madrid,Retiro,Venta,Piso,257360.0,49.2,2.0,1.0,Obra nueva,2019-01-01,3,True,False,True,True,True,5.82,2024-12-03,40-80,5230.89
121,Madrid,Arganzuela,Venta,Piso,542896.0,106.6,3.0,2.0,A reformar,1948-01-01,8,True,True,False,False,False,6.02,2025-03-10,80-120,5092.83
122,Madrid,Retiro,Alquiler,Piso,586049.0,101.9,3.0,2.0,Buen estado,2008-01-01,5,False,False,True,True,False,2.59,2024-11-23,80-120,5751.22
123,Madrid,Retiro,Venta,Piso,442716.0,86.4,3.0,2.0,Buen estado,1987-01-01,Bajo,True,True,False,False,True,3.78,2025-02-27,80-120,5124.03
124,Madrid,Retiro,Venta,Piso,582737.0,124.4,4.0,2.0,Reformado,1973-01-01,7,True,True,False,True,False,4.61,2024-11-04,120-160,4684.38
125,Madrid,Salamanca,Venta,Piso,299620.0,73.4,2.0,1.0,Buen estado,1975-01-01,2,False,False,True,True,False,5.54,2024-10-22,40-80,4082.02
126,Madrid,Retiro,Alquiler,Piso,292059.0,50.5,2.0,1.0,Obra nueva,2021-01-01,7,True,False,True,True,False,3.97,2024-10-27,40-80,5783.35
127,Madrid,Tetuán,Venta,Piso,453347.0,98.3,3.0,2.0,Buen estado,1975-01-01,9,True,False,False,False,False,3.8,2024-12-25,80-120,4611.87
128,Madrid,Salamanca,Alquiler,Piso,537442.0,95.7,3.0,2.0,Obra nueva,2022-01-01,9,True,True,True,True,True,6.38,2025-03-16,80-120,5615.9
129,Madrid,Chamberí,Alquiler,Piso,323034.0,61.3,2.0,1.0,Reformado,1970-01-01,4,True,True,False,False,False,4.0,2025-03-08,40-80,5269.72
130,Madrid,Madrid-Centro,Venta,Piso,366868.0,82.1,3.0,2.0,Buen estado,1982-01-01,1,True,True,False,False,False,2.5,2024-12-01,80-120,4468.55
131,Madrid,Arganzuela,Venta,Piso,262263.0,63.8,2.0,1.0,Buen estado,1975-01-01,2,True,False,False,False,True,4.42,2025-02-27,40-80,4110.71
132,Madrid,Salamanca,Venta,Piso,347523.0,71.9,2.0,1.0,Buen estado,1994-01-01,7,False,False,True,False,True,2.11,2024-12-22,40-80,4833.42
133,Madrid,Salamanca,Venta,Piso,311444.0,72.1,2.0,1.0,Obra nueva,2021-01-01,1,True,True,False,True,True,4.13,,40-80,4319.61
134,Madrid,Chamberí,Alquiler,Ático,463665.0,89.3,3.0,2.0,Buen estado,1991-01-01,Ático,True,False,False,True,False,3.29,2024-11-28,80-120,5192.22
135,Madrid,Madrid-Centro,Venta,Piso,821547.0,183.65,5.0,3.0,Buen estado,1992-01-01,4,False,False,False,False,False,4.28,2024-11-14,160-200,4473.44
136,Madrid,Salamanca,Venta,Piso,322898.0,71.3,2.0,1.0,Buen estado,1966-01-01,9,True,True,False,True,False,1.59,2024-12-21,40-80,4528.72
137,Madrid,Madrid-Centro,Venta,Piso,628623.0,122.7,4.0,2.0,Buen estado,1997-01-01,4,False,False,False,True,True,4.16,2025-02-14,120-160,5123.25
138,Madrid,Tetuán,Venta,Piso,356337.0,74.8,2.0,1.0,Buen estado,1988-01-01,6,False,True,False,False,False,2.99,2024-12-30,40-80,4763.86
139,Madrid,Tetuán,Venta,Piso,445458.0,83.2,3.0,2.0,A reformar,1983-01-01,9,False,False,False,False,True,3.06,2025-03-08,80-120,5354.06
140,Madrid,Salamanca,Alquiler,Piso,542243.0,122.7,4.0,2.0,Buen estado,1981-01-01,Bajo,False,False,True,False,False,1.5,2024-11-22,120-160,4419.26
141,Madrid,Madrid-Centro,Venta,Estudio,175212.0,32.4,0.0,1.0,Buen estado,1997-01-01,9,True,False,False,True,True,6.47,2025-01-28,0-40,5407.78
142,Madrid,Arganzuela,Alquiler,Piso,365022.0,84.3,3.0,2.0,Buen estado,1978-01-01,6,False,False,False,True,False,4.78,2025-01-02,80-120,4330.04
143,Madrid,Retiro,Venta,Piso,385149.0,73.1,2.0,1.0,Buen estado,1979-01-01,7,True,False,False,False,True,4.94,,40-80,5268.8
144,Madrid,Arganzuela,Alquiler,Estudio,186455.0,32.7,0.0,1.0,Buen estado,1995-01-01,7,False,False,False,True,False,5.54,2024-10-31,0-40,5701.99
145,Madrid,Retiro,Venta,Piso,493219.0,101.7,3.0,2.0,Obra nueva,2022-01-01,Bajo,False,True,False,True,False,5.87,2025-03-26,80-120,4849.74
146,Madrid,Tetuán,Venta,Piso,410185.0,90.9,3.0,2.0,Buen estado,1997-01-01,9,True,True,False,False,True,5.89,2025-02-13,80-120,4512.49
147,Madrid,Arganzuela,Venta,Sin_clasificar,,,1.0,1.0,Buen estado,1997-01-01,2,True,False,False,False,True,5.25,2024-12-21,,
148,Madrid,Madrid-Centro,Alquiler,Ático,422899.0,79.2,2.0,1.0,Buen estado,1995-01-01,Ático,True,False,False,True,True,9.12,2025-03-13,40-80,5339.63
149,Madrid,Chamberí,Alquiler,Piso,366173.0,76.3,2.0,1.0,Buen estado,1978-01-01,6,True,False,False,False,False,3.43,2024-11-01,40-80,4799.12
150,Madrid,Chamberí,Alquiler,Piso,413753.0,87.6,3.0,2.0,Buen estado,1971-01-01,1,False,False,False,False,True,5.44,2025-03-23,80-120,4723.21
151,Madrid,Chamberí,Venta,Piso,261958.0,62.7,2.0,1.0,Buen estado,1979-01-01,4,True,False,False,False,True,5.95,2025-01-23,40-80,4177.96
152,Madrid,Madrid-Centro,Alquiler,Piso,231256.0,47.5,2.0,1.0,Buen estado,1994-01-01,6,True,True,False,False,False,5.57,2024-11-26,40-80,4868.55
153,Madrid,Tetuán,Venta,Sin_clasificar,,,2.0,1.0,Reformado,1974-01-01,4,False,False,True,True,False,5.77,2025-01-23,,
154,Madrid,Retiro,Alquiler,Piso,245817.0,45.1,2.0,1.0,Obra nueva,2020-01-01,4,True,False,False,True,False,7.74,2025-03-08,40-80,5450.49
155,Madrid,Tetuán,Alquiler,Piso,411786.0,75.2,2.0,1.0,Buen estado,1977-01-01,8,True,False,False,True,True,,2025-02-09,40-80,5475.88
156,Madrid,Retiro,Venta,Piso,471258.0,105.3,3.0,2.0,Buen estado,1978-01-01,5,True,False,True,False,False,6.08,2024-11-26,80-120,4475.38
157,Madrid,Arganzuela,Venta,Piso,,73.4,2.0,1.0,Reformado,1979-01-01,6,True,False,False,False,False,6.56,2024-10-20,40-80,
158,Madrid,Retiro,Alquiler,Ático,247066.0,49.6,2.0,1.0,Obra nueva,2021-01-01,Ático,True,True,False,True,False,4.27,2025-03-24,40-80,4981.17
159,Madrid,Chamberí,Venta,Piso,326022.0,67.6,2.0,1.0,Buen estado,2020-01-01,9,True,False,False,False,True,4.24,2025-01-01,40-80,4822.81
160,Madrid,Salamanca,Alquiler,Sin_clasificar,,,3.0,1.0,Buen estado,1980-01-01,7,True,False,False,False,False,4.7,2024-10-12,,
161,Madrid,Arganzuela,Venta,Piso,509510.0,103.4,3.0,2.0,A reformar,1989-01-01,1,True,True,False,False,False,2.95,2025-02-06,80-120,4927.56
162,Madrid,Retiro,Venta,Piso,403662.0,88.4,3.0,2.0,Buen estado,1984-01-01,5,False,False,True,True,False,5.56,2025-03-30,80-120,4566.31
163,Madrid,Tetuán,Venta,Piso,676323.0,129.3,4.0,2.0,Obra nueva,2021-01-01,8,True,False,False,False,False,6.17,2024-10-18,120-160,5230.65
164,Madrid,Tetuán,Venta,Piso,519454.0,92.6,3.0,2.0,Reformado,1967-01-01,3,True,True,False,True,True,3.99,2024-11-01,80-120,5609.65
165,Madrid,Madrid-Centro,Alquiler,Piso,365551.0,67.2,2.0,1.0,Obra nueva,2018-01-01,7,True,True,True,False,False,6.25,2024-11-20,40-80,5439.75
